player_id,name,season,age,team_id,pos,games,minutes_played,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,obpm,dbpm,bpm,uni_url
anthony-davis-5,Anthony Davis,2020-21,21,NOP,PF,68,2455,30.8,.591,.010,.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,9.9,4.2,14.0,6.6,2.3,8.9,https://www.sports-reference.com/cbb/players/anthony-davis-5.html
michael-kidd-gilchrist-1,Michael Kidd-Gilchrist,2020-21,21,CHO,SF,55,1587,15.1,.519,.000,.444,7.4,21.9,14.4,8.2,1.0,1.9,9.9,18.4,1.6,2.2,3.8,-1.1,0.6,-0.5,https://www.sports-reference.com/cbb/players/michael-kidd-gilchrist-1.html
bradley-beal-1,Bradley Beal,2020-21,21,WAS,SG,63,2107,14.0,.521,.304,.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,1.3,2.4,3.7,-0.1,0.2,0.1,https://www.sports-reference.com/cbb/players/bradley-beal-1.html
dion-waiters-1,Dion Waiters,2020-21,23,TOT,SG,80,2208,10.9,.460,.260,.182,2.1,7.4,4.8,11.9,2.1,0.8,10.0,22.5,-0.6,1.7,1.1,-2.5,-0.8,-3.3,https://www.sports-reference.com/cbb/players/dion-waiters-1.html
thomas-robinson-2,Thomas Robinson,2020-21,23,TOT,PF,54,798,15.3,.502,.008,.408,12.6,28.6,20.5,7.6,2.0,1.9,16.1,20.2,0.0,1.4,1.5,-2.3,0.3,-2.0,https://www.sports-reference.com/cbb/players/thomas-robinson-2.html
damian-lillard-1,Damian Lillard,2020-21,24,POR,PG,82,2925,20.7,.560,.421,.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,7.3,3.3,10.6,4.3,0.3,4.7,https://www.sports-reference.com/cbb/players/damian-lillard-1.html
harrison-barnes-1,Harrison Barnes,2020-21,22,GSW,SF,82,2318,13.4,.573,.328,.229,5.6,15.1,10.5,6.9,1.3,0.6,9.0,14.9,3.7,3.0,6.7,0.2,-0.1,0.1,https://www.sports-reference.com/cbb/players/harrison-barnes-1.html
terrence-ross-1,Terrence Ross,2020-21,23,TOR,SF,82,2092,11.2,.519,.518,.074,1.8,10.7,6.2,6.5,1.3,1.0,8.1,18.3,1.3,1.0,2.4,-0.1,-1.3,-1.4,https://www.sports-reference.com/cbb/players/terrence-ross-1.html
andre-drummond-1,Andre Drummond,2020-21,21,DET,C,82,2502,21.4,.504,.002,.380,18.3,30.1,24.0,3.9,1.5,4.8,9.7,22.0,3.4,4.3,7.7,0.6,-0.7,-0.1,https://www.sports-reference.com/cbb/players/andre-drummond-1.html
austin-rivers-1,Austin Rivers,2020-21,22,TOT,"PG,SG",76,1563,10.3,.481,.264,.254,2.0,8.9,5.5,14.7,1.6,0.7,10.5,17.9,0.5,1.0,1.5,-2.5,-0.3,-2.8,https://www.sports-reference.com/cbb/players/austin-rivers-1.html
