player,pick rank,year,college,url,height (cm),weight (lb),uni_url,player_id
Joffrey Lauvergne,55,2013,,https://www.basketball-reference.com//players/l/lauvejo01.html,210.8,220,,
Peyton Siva,56,2013,Louisville,https://www.basketball-reference.com//players/s/sivape01.html,182.9,185,https://www.sports-reference.com/cbb/players/peyton-siva-1.html,peyton-siva-1
Alex Oriakhi,57,2013,Missouri,https://www.basketball-reference.com//players/o/oriakal01.html,205.7,255,https://www.sports-reference.com/cbb/players/alex-oriakhi-1.html,alex-oriakhi-1
Deshaun Thomas,58,2013,Ohio State,https://www.basketball-reference.com//players/t/thomade01.html,200.7,215,https://www.sports-reference.com/cbb/players/deshaun-thomas-1.html,deshaun-thomas-1
Bojan Dubljević,59,2013,,https://www.basketball-reference.com//players/d/dubljbo01.html,205.7,235,,
Jānis Timma,60,2013,,https://www.basketball-reference.com//players/t/timmaja01.html,200.7,224,,
Andrew Wiggins,1,2014,Kansas,https://www.basketball-reference.com//players/w/wiggian01.html,200.7,197,https://www.sports-reference.com/cbb/players/andrew-wiggins-1.html,andrew-wiggins-1
Jabari Parker,2,2014,Duke,https://www.basketball-reference.com//players/p/parkeja01.html,203.2,245,https://www.sports-reference.com/cbb/players/jabari-parker-1.html,jabari-parker-1
Joel Embiid,3,2014,Kansas,https://www.basketball-reference.com//players/e/embiijo01.html,213.4,280,https://www.sports-reference.com/cbb/players/joel-embiid-1.html,joel-embiid-1
Aaron Gordon,4,2014,Arizona,https://www.basketball-reference.com//players/g/gordoaa01.html,203.2,235,https://www.sports-reference.com/cbb/players/aaron-gordon-1.html,aaron-gordon-1
Dante Exum,5,2014,,https://www.basketball-reference.com//players/e/exumda01.html,195.6,214,,
Marcus Smart,6,2014,Oklahoma State,https://www.basketball-reference.com//players/s/smartma01.html,190.5,220,https://www.sports-reference.com/cbb/players/marcus-smart-1.html,marcus-smart-1
Julius Randle,7,2014,Kentucky,https://www.basketball-reference.com//players/r/randlju01.html,203.2,250,https://www.sports-reference.com/cbb/players/julius-randle-1.html,julius-randle-1
Nik Stauskas,8,2014,Michigan,https://www.basketball-reference.com//players/s/stausni01.html,198.1,205,https://www.sports-reference.com/cbb/players/nik-stauskas-1.html,nik-stauskas-1
Noah Vonleh,9,2014,Indiana,https://www.basketball-reference.com//players/v/vonleno01.html,208.3,257,https://www.sports-reference.com/cbb/players/noah-vonleh-1.html,noah-vonleh-1
Elfrid Payton,10,2014,Louisiana,https://www.basketball-reference.com//players/p/paytoel01.html,190.5,195,https://www.sports-reference.com/cbb/players/elfrid-payton-1.html,elfrid-payton-1
Doug McDermott,11,2014,Creighton,https://www.basketball-reference.com//players/m/mcderdo01.html,200.7,225,https://www.sports-reference.com/cbb/players/doug-mcdermott-1.html,doug-mcdermott-1
Dario Šarić,12,2014,,https://www.basketball-reference.com//players/s/saricda01.html,208.3,225,,
Zach LaVine,13,2014,UCLA,https://www.basketball-reference.com//players/l/lavinza01.html,195.6,200,https://www.sports-reference.com/cbb/players/zach-lavine-1.html,zach-lavine-1
T.J. Warren,14,2014,NC State,https://www.basketball-reference.com//players/w/warretj01.html,203.2,220,https://www.sports-reference.com/cbb/players/tj-warren-1.html,tj-warren-1
Adreian Payne,15,2014,Michigan State,https://www.basketball-reference.com//players/p/paynead01.html,208.3,237,https://www.sports-reference.com/cbb/players/adreian-payne-1.html,adreian-payne-1
Jusuf Nurkić,16,2014,,https://www.basketball-reference.com//players/n/nurkiju01.html,210.8,290,,
James Young,17,2014,Kentucky,https://www.basketball-reference.com//players/y/youngja01.html,198.1,215,https://www.sports-reference.com/cbb/players/james-young-1.html,james-young-1
Tyler Ennis,18,2014,Syracuse,https://www.basketball-reference.com//players/e/ennisty01.html,190.5,194,https://www.sports-reference.com/cbb/players/tyler-ennis-1.html,tyler-ennis-1
Gary Harris,19,2014,Michigan State,https://www.basketball-reference.com//players/h/harriga01.html,193.0,210,https://www.sports-reference.com/cbb/players/gary-harris-1.html,gary-harris-1
Bruno Caboclo,20,2014,,https://www.basketball-reference.com//players/c/cabocbr01.html,205.7,218,,
Mitch McGary,21,2014,Michigan,https://www.basketball-reference.com//players/m/mcgarmi01.html,208.3,255,https://www.sports-reference.com/cbb/players/mitch-mcgary-1.html,mitch-mcgary-1
Jordan Adams,22,2014,UCLA,https://www.basketball-reference.com//players/a/adamsjo01.html,195.6,209,https://www.sports-reference.com/cbb/players/jordan-adams-1.html,jordan-adams-1
Rodney Hood,23,2014,Duke,https://www.basketball-reference.com//players/h/hoodro01.html,203.2,208,https://www.sports-reference.com/cbb/players/rodney-hood-1.html,rodney-hood-1
Shabazz Napier,24,2014,UConn,https://www.basketball-reference.com//players/n/napiesh01.html,182.9,175,https://www.sports-reference.com/cbb/players/shabazz-napier-1.html,shabazz-napier-1
Clint Capela,25,2014,,https://www.basketball-reference.com//players/c/capelca01.html,208.3,240,,
P.J. Hairston,26,2014,UNC,https://www.basketball-reference.com//players/h/hairspj02.html,198.1,230,https://www.sports-reference.com/cbb/players/pj-hairston-1.html,pj-hairston-1
Bogdan Bogdanović,27,2014,,https://www.basketball-reference.com//players/b/bogdabo01.html,198.1,220,,
C.J. Wilcox,28,2014,Washington,https://www.basketball-reference.com//players/w/wilcocj01.html,195.6,195,https://www.sports-reference.com/cbb/players/cj-wilcox-1.html,cj-wilcox-1
Josh Huestis,29,2014,Stanford,https://www.basketball-reference.com//players/h/huestjo01.html,200.7,230,https://www.sports-reference.com/cbb/players/josh-huestis-1.html,josh-huestis-1
Kyle Anderson,30,2014,UCLA,https://www.basketball-reference.com//players/a/anderky01.html,205.7,230,https://www.sports-reference.com/cbb/players/kyle-anderson-3.html,kyle-anderson-3
Damien Inglis,31,2014,,https://www.basketball-reference.com//players/i/inglida01.html,203.2,246,,
K.J. McDaniels,32,2014,Clemson,https://www.basketball-reference.com//players/m/mcdankj01.html,198.1,205,https://www.sports-reference.com/cbb/players/kj-mcdaniels-1.html,kj-mcdaniels-1
Joe Harris,33,2014,Virginia,https://www.basketball-reference.com//players/h/harrijo01.html,198.1,220,https://www.sports-reference.com/cbb/players/joe-harris--1.html,joe-harris--1
Cleanthony Early,34,2014,Wichita State,https://www.basketball-reference.com//players/e/earlycl01.html,203.2,210,https://www.sports-reference.com/cbb/players/cleanthony-early-1.html,cleanthony-early-1
Jarnell Stokes,35,2014,Tennessee,https://www.basketball-reference.com//players/s/stokeja01.html,205.7,263,https://www.sports-reference.com/cbb/players/jarnell-stokes-1.html,jarnell-stokes-1
Johnny O'Bryant,36,2014,LSU,https://www.basketball-reference.com//players/o/obryajo01.html,205.7,257,https://www.sports-reference.com/cbb/players/johnny-obryant-1.html,johnny-obryant-1
DeAndre Daniels,37,2014,UConn,https://www.basketball-reference.com//players/d/daniede01.html,205.7,195,https://www.sports-reference.com/cbb/players/deandre-daniels-1.html,deandre-daniels-1
Spencer Dinwiddie,38,2014,Colorado,https://www.basketball-reference.com//players/d/dinwisp01.html,195.6,215,https://www.sports-reference.com/cbb/players/spencer-dinwiddie-1.html,spencer-dinwiddie-1
