position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,player_id
C,6.55,222,267,2089,2121,2718,243.6,2229,damian-jones-1
PF,9.7,229,235,2064,2096,2756,237.2,2197,deyonta-davis-1
PF,5.6,216,248,2019,2057,2731,218.6,2248,cheick-diallo-1
PG,5.2,191,191,1746,1778,2248,149.2,1880,tyler-ulis-1
SG,5.4,229,260,1924,1968,2489,223.0,2096,malcolm-brogdon-1
C,8.55,229,203,2057,2083,2756,245.2,2203,chinanu-onuaku-1
PG,4.7,222,222,1962,2000,2553,180.8,2083,patrick-mccaw-1
C,12.85,216,197,2057,2089,2756,254.4,2203,diamond-stone-1
PG,9.25,216,222,1911,1943,2540,210.0,2051,isaiah-whitehead-1
PG,6.5,210,229,1829,1861,2362,193.8,1968,demetrius-jackson-2
SF,7.1,210,235,2032,2064,2591,208.6,2064,jake-layman-1
SG,5.4,203,229,1968,2000,2565,204.6,2019,michael-gbinije-1
PF,10.05,235,235,2000,2045,2616,230.8,2083,georges-niang-1
PF,9.7,241,254,2013,2038,2667,229.2,2172,ben-bentil-1
PF,5.15,229,260,2019,2057,2629,224.4,2178,joel-bolomboy-1
PG,5.8,210,216,1734,1765,2248,177.2,1892,kahlil-felder-1
PG,4.3,197,222,1842,1873,2464,163.8,1988,marcus-paige-1
SG,5.95,229,216,1988,2032,2629,197.0,2057,daniel-hamilton-1
PG,4.8,210,222,1911,1943,2502,194.0,1988,isaiah-cousins-1
PG,4.5,216,216,1880,1911,2540,169.6,1994,deaaron-fox-1
PF,8.9,222,235,2089,2134,2819,232.2,2159,zach-collins-1
SG,6.6,203,222,1943,1968,2502,196.2,1962,luke-kennard-1
SG,5.9,216,241,1861,1905,2464,211.4,2083,donovan-mitchell-1
SF,8.1,222,235,2007,2038,2654,200.8,2108,justin-jackson-5
C,7.8,222,248,2083,2115,2832,229.0,2210,justin-patton-1
PF,6.4,235,260,2051,2096,2781,234.4,2210,dj-wilson-1
PF,6.8,216,241,2051,2076,2718,222.2,2108,tj-leaf-1
PF,5.4,229,254,2038,2070,2705,225.2,2115,john-collins-1
PF,5.2,241,273,2064,2096,2781,232.0,2216,harry-giles-1
C,7.4,241,267,2057,2089,2781,233.6,2267,jarrett-allen-1
SF,6.8,235,241,1988,2026,2731,232.4,2191,og-anunoby-1
PF,13.6,222,222,2038,2070,2731,215.0,2134,tyler-lydon-1
PF,12.55,229,260,2019,2045,2718,246.6,2222,caleb-swanigan-1
SF,9.4,216,241,2032,2070,2731,222.6,2140,kyle-kuzma-1
C,12.0,241,241,2064,2102,2858,248.8,2261,tony-bradley-1
PG,6.2,210,216,1911,1943,2578,189.8,2019,derrick-white-1
SG,5.8,216,241,1924,1956,2565,209.2,2038,josh-hart-1
PG,6.7,210,229,1880,1918,2489,201.6,2019,frank-jackson-2
SG,6.5,235,241,1943,1968,2591,206.2,2134,davon-reed-1
SG,4.0,222,241,1968,2000,2680,193.4,2159,wesley-iwundu-1
PF,6.8,222,229,2051,2083,2769,219.6,2172,ivan-rabb-1
SF,5.5,222,241,1962,2000,2591,241.4,2076,semi-ojeleye-1
PF,5.4,235,241,2007,2045,2654,223.6,2127,jordan-bell-1
PG,9.1,203,197,1797,1816,2413,185.2,1968,jawun-evans-1
SG,7.9,222,254,1949,1988,2629,221.6,2083,dwayne-bacon-1
SG,4.7,216,235,1905,1943,2527,182.6,1962,tyler-dorsey-1
PF,9.4,241,260,2070,2102,2858,247.8,2286,thomas-bryant-1
SG,5.3,216,235,1943,1968,2540,205.2,2057,damyean-dotson-1
SG,7.5,210,235,1956,1981,2553,220.2,1981,dillon-brooks-1
C,5.4,241,254,2045,2076,2807,252.2,2292,ike-anigbogu-1
SG,7.8,222,222,1918,1949,2616,211.6,2083,sindarius-thornwell-1
PG,6.9,210,222,1861,1892,2451,175.2,1930,monte-morris-1
PG,8.3,210,229,1930,1975,2604,176.4,2057,edmond-sumner-1
PG,6.4,216,222,1854,1886,2527,192.4,2064,kadeem-allen-1
PF,8.8,222,254,2013,2051,2667,232.0,2102,alec-peters-1
PG,5.6,222,235,1867,1905,2515,190.2,2013,nigel-williams-goss-1
SF,5.7,222,260,1975,2000,2654,218.6,2083,jaron-blossomgame-1
PG,5.35,203,235,1842,1873,2426,177.8,1905,trae-young-1
C,6.2,248,260,2115,2153,2934,225.6,2388,mohamed-bamba-1
PG,5.6,210,216,1842,1867,2502,183.0,2013,collin-sexton-1
SF,4.95,222,235,2026,2057,2743,212.6,2127,kevin-knox-1
PG,3.0,229,229,1943,1981,2642,180.0,2121,shai-gilgeous-alexander-1
SF,5.9,229,248,1962,2000,2629,220.4,2070,miles-bridges-1
SG,6.05,229,254,1930,1956,2489,188.4,2013,jerome-robinson-2
SF,7.05,229,248,1975,2000,2667,208.0,2089,troy-brown-5
SF,6.05,222,210,1899,1930,2540,198.6,2076,zhaire-smith-1
