,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,obpm,dbpm,years,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,3rd_NBA_season
89,1404,25.5,0.591,0.517,0.433,0.48,3.4,15.0,30.8,3.2,1.0,15.8,27.5,4.9,3.1,7.5,4.5,4,PG,7.35,210,216,1803,1854,2362,175.2,1911,1
90,1116,22.0,0.598,0.556,0.529,0.271,2.3,10.6,15.4,1.7,2.8,9.9,24.6,3.6,0.9,7.4,1.0,4,SG,6.5,222,229,1918,1956,2553,201.0,2076,1
91,1266,17.3,0.51,0.488,0.223,0.295,8.8,18.4,6.8,1.0,5.9,9.8,18.0,1.9,2.1,2.8,2.5,4,SG,6.4,218,234,1932,1965,2553,202.6,2056,1
92,1196,24.7,0.566,0.517,0.154,0.493,4.5,25.5,34.3,3.1,2.7,19.1,24.1,3.1,2.6,6.3,4.5,2,SF,13.35,210,222,2019,2045,2731,230.1,2203,1
93,1212,28.4,0.566,0.505,0.303,0.402,8.8,15.9,12.8,2.3,8.9,13.3,29.1,3.6,3.1,7.4,5.6,3,SF,4.45,222,248,1943,1981,2591,195.6,2115,1
94,1066,18.7,0.565,0.547,0.533,0.337,2.7,9.8,18.1,2.2,0.9,10.9,23.3,2.6,2.4,4.5,4.1,4,SG,6.2,216,248,1949,1988,2540,215.0,1981,1
95,1020,18.7,0.526,0.495,0.007,0.455,10.8,16.6,11.5,1.0,2.9,17.8,28.5,1.2,1.5,1.1,0.2,3,PF,10.75,235,241,2013,2045,2667,256.8,2191,1
96,529,24.8,0.667,0.565,0.481,0.908,1.8,9.6,26.3,2.9,0.8,13.8,21.0,2.2,0.8,6.2,3.9,3,PG,5.35,210,229,1943,1981,2616,204.9,2038,1
97,1005,21.6,0.547,0.496,0.019,0.664,9.1,17.2,9.4,1.7,2.5,9.5,21.1,2.8,1.9,4.0,2.4,2,SF,3.75,235,235,1994,2026,2718,214.0,2203,1
98,1194,18.9,0.566,0.532,0.29,0.308,6.0,11.5,7.6,1.9,1.0,9.7,22.3,2.8,1.4,4.2,1.2,2,SF,5.05,229,241,1968,2000,2553,211.4,2083,1
99,1201,22.0,0.591,0.541,0.361,0.483,3.5,12.9,16.9,1.6,3.1,10.0,23.1,3.7,2.0,6.3,2.7,4,SG,4.2,210,248,1892,1918,2540,184.4,2051,1
100,1167,19.7,0.527,0.475,0.103,0.557,7.3,17.3,20.4,2.4,2.8,17.8,26.0,1.8,2.0,2.7,3.0,4,PF,6.2,229,235,2070,2108,2667,234.4,2146,1
101,1228,20.2,0.547,0.482,0.244,0.418,2.9,9.3,23.3,1.9,0.6,14.3,27.9,3.2,1.2,3.8,0.5,1,PG,4.3,210,229,1911,1956,2489,186.3,2032,1
102,1190,24.0,0.565,0.513,0.439,0.414,2.6,10.0,17.6,1.3,3.3,11.2,30.4,4.3,2.0,8.1,2.5,4,SG,5.2,222,216,1924,1962,2642,179.4,2146,1
103,822,31.4,0.627,0.57,0.031,0.523,14.2,22.3,11.6,1.4,11.5,14.2,23.7,3.5,2.9,6.6,7.6,1,C,7.7,232,250,2091,2125,2791,242.7,2213,1
104,1188,26.6,0.573,0.541,0.449,0.303,3.6,15.4,30.1,2.8,1.1,14.8,30.2,4.4,2.4,8.6,3.3,1,PG,8.3,222,248,1911,1956,2591,193.4,2076,1
105,1143,30.7,0.641,0.664,0.0,0.462,14.8,18.2,9.4,1.5,4.5,15.6,27.6,4.5,2.2,7.7,2.7,1,C,7.7,232,250,2091,2125,2791,242.7,2213,1
106,1012,23.8,0.588,0.572,0.0,0.542,11.1,17.3,7.4,2.9,7.1,13.9,17.8,2.6,3.4,5.4,7.1,3,C,6.3,241,229,2115,2146,2819,242.4,2210,1
107,1081,22.5,0.551,0.501,0.297,0.456,8.9,19.1,11.6,3.2,1.6,14.7,26.6,2.8,2.9,5.0,4.4,1,SF,7.5,229,229,1956,1994,2591,241.8,2121,1
108,1311,34.4,0.628,0.59,0.207,0.41,6.0,25.7,18.4,1.7,4.5,9.8,28.6,6.9,2.9,11.2,5.0,4,C,9.4,216,241,2127,2153,2781,231.2,2108,1
109,1135,22.3,0.572,0.551,0.309,0.438,5.4,19.8,13.2,2.8,2.9,14.2,22.9,3.1,2.5,5.3,4.6,1,SF,5.3,216,235,1943,1994,2654,221.8,2089,1
110,755,25.5,0.556,0.488,0.241,0.436,7.2,24.9,6.2,0.8,12.3,13.2,25.1,1.9,2.1,3.4,6.0,1,C,9.3,235,235,2076,2121,2845,238.6,2235,1
111,828,19.8,0.543,0.496,0.121,0.425,9.9,16.1,9.2,1.4,2.1,12.4,20.8,2.1,2.3,3.9,4.1,1,PF,12.1,235,260,2057,2089,2743,241.2,2172,1
112,816,19.4,0.6,0.571,0.491,0.223,2.6,7.8,10.9,1.3,0.3,10.4,22.8,2.7,1.8,6.1,3.3,1,SG,8.3,222,229,1943,1975,2604,205.8,2038,1
113,1127,30.1,0.573,0.534,0.415,0.315,2.2,10.6,40.0,3.6,1.6,12.4,31.5,5.5,1.8,8.6,1.3,2,PG,6.3,216,210,1848,1867,2477,182.8,2013,1
114,756,21.1,0.555,0.512,0.383,0.444,6.4,19.2,8.1,3.3,1.8,12.5,23.1,1.7,1.7,4.7,4.1,1,SF,5.7,229,222,1975,2000,2604,202.8,2191,1
115,1260,22.1,0.509,0.457,0.301,0.338,3.8,13.9,19.7,3.5,0.5,11.6,27.8,3.0,3.0,4.8,4.6,2,PG,5.6,210,216,1842,1886,2502,190.2,2038,1
116,742,20.2,0.547,0.521,0.43,0.299,2.3,13.7,11.8,1.5,1.1,11.8,30.8,1.4,1.1,4.5,0.1,1,SG,6.2,203,216,1924,1956,2565,198.6,2007,1
117,1239,25.5,0.605,0.586,0.372,0.278,8.4,14.8,8.6,1.1,1.5,7.3,23.2,5.1,1.9,8.5,1.8,3,SF,7.5,216,235,2026,2057,2692,218.6,2121,1
118,1408,25.5,0.592,0.536,0.37,0.511,1.3,8.3,33.6,2.8,1.4,13.4,24.2,6.1,1.6,7.3,1.7,4,PG,5.6,210,216,1911,1937,2540,198.0,2019,1
119,1165,29.2,0.619,0.549,0.225,0.565,4.0,13.7,33.0,4.0,3.2,14.2,22.8,5.3,3.1,8.7,6.9,2,PG,6.6,203,216,1937,1968,2578,181.4,2019,1
120,724,23.8,0.61,0.572,0.471,0.371,3.1,14.4,14.0,1.6,2.5,10.7,23.3,2.5,1.8,7.9,4.8,3,SF,5.0,216,241,1962,1988,2565,230.6,2127,1
121,1076,29.5,0.582,0.552,0.064,0.335,13.6,20.2,8.8,2.1,4.8,9.4,26.7,4.2,1.9,7.6,1.4,2,PF,8.9,241,235,2070,2096,2756,246.2,2184,1
122,1090,21.8,0.573,0.513,0.105,0.745,9.0,20.1,10.1,2.4,3.4,13.7,20.5,3.1,2.9,4.4,5.0,2,SF,5.0,222,248,1968,2007,2642,210.8,2184,1
123,1322,20.4,0.575,0.489,0.383,0.5,1.8,9.9,27.5,2.7,0.2,15.9,18.7,4.4,2.1,6.0,3.3,1,PG,6.5,210,222,1842,1880,2464,184.6,1956,1
124,1159,21.6,0.565,0.526,0.131,0.511,9.7,18.1,10.5,1.9,1.8,15.7,24.8,2.7,2.4,3.0,1.6,2,PF,10.1,210,241,2032,2064,2705,238.6,2057,1
125,1082,25.3,0.581,0.533,0.117,0.403,6.0,21.1,20.0,2.3,4.3,14.0,28.5,2.8,2.6,4.0,2.9,4,PF,6.4,229,248,2019,2045,2743,226.6,2172,1
