player_id,player_name,pos,off_score,def_score,uni_off_score,uni_def_score,ratio_off,ratio_def
jp-tokoto-1,J.P. Tokoto,,,,1.8,1.86,,
brice-johnson-1,Brice Johnson,,,,3.46,2.59,,
tyler-ulis-1,Tyler Ulis,,,,3.43,1.24,,
chinanu-onuaku-1,Chinanu Onuaku,,,,2.4,2.8,,
diamond-stone-1,Diamond Stone,,,,2.95,1.66,,
stephen-zimmermanjr-1,Stephen Zimmerman Jr.,,,,1.91,2.05,,
isaiah-whitehead-1,Isaiah Whitehead,,,,2.78,1.7,,
aj-hammons-1,A.J. Hammons,,,,3.06,2.49,,
michael-gbinije-1,Michael Gbinije,,,,3.0,1.68,,
ben-bentil-1,Ben Bentil,,,,3.33,1.59,,
joel-bolomboy-1,Joel Bolomboy,,,,3.45,2.12,,
kahlil-felder-1,Kay Felder,,,,3.98,1.27,,
marcus-paige-1,Marcus Paige,,,,2.72,1.2,,
daniel-hamilton-1,Daniel Hamilton,,,,2.36,2.32,,
isaiah-cousins-1,Isaiah Cousins,,,,2.19,1.5,,
tyler-lydon-1,Tyler Lydon,,,,2.81,1.78,,
davon-reed-1,Davon Reed,,,,2.74,1.61,,
ivan-rabb-1,Ivan Rabb,,,,2.63,2.08,,
jonah-bolden-1,Jonah Bolden,,,,1.6,1.56,,
jawun-evans-1,Jawun Evans,,,,3.35,1.29,,
tyler-dorsey-1,Tyler Dorsey,,,,3.05,1.1,,
ike-anigbogu-1,Ike Anigbogu,,,,2.05,1.64,,
alec-peters-1,Alec Peters,,,,3.56,1.51,,
nigel-williams-goss-1,Nigel Williams-Goss,,,,3.14,2.29,,
jabari-bird-1,Jabari Bird,,,,2.43,1.24,,
jaron-blossomgame-1,Jaron Blossomgame,,,,2.89,1.24,,
michael-porterjr-1,Michael Porter Jr.,,,,2.49,2.1,,
zhaire-smith-1,Zhaire Smith,,,,3.03,1.97,,
jacob-evans-1,Jacob Evans,,,,2.77,2.24,,
omari-spellman-1,Omari Spellman,,,,2.85,2.04,,
melvin-frazier-1,Melvin Frazier,,,,2.68,1.89,,
justin-jackson-5,Justin Jackson,,,,1.84,1.4,,
tony-carr-1,Tony Carr,,,,3.18,1.25,,
vince-edwards-2,Vince Edwards,,,,3.04,1.51,,
