player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,year,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,"('Alex Len', 'weight')","('Markelle Fultz', 'weight')"
Gary Harris,2013-14,Michigan State,Big Ten,35,34,1131,22.5,0.561,0.518,0.505,0.312,542.0,4.0,10.2,7.3,16.8,3.4,1.6,10.3,26.8,3.3,2.0,5.3,0.188,6.6,3.7,10.3,2,2014-15,SG,4.55,216,241,1892,1943,2438,204.8,2000,0,0
Mitch McGary,2013-14,Michigan,Big Ten,8,4,198,26.2,0.572,0.545,0.036,0.436,84.0,15.5,27.1,21.5,12.6,4.9,3.2,16.4,22.5,0.5,0.5,1.0,0.208,3.7,4.9,8.6,2,,PF,,0,0,0,0,0,nan,0,0,0
Jordan Adams,2013-14,UCLA,Pac-12,36,36,1082,28.3,0.603,0.545,0.34,0.441,594.0,7.5,13.1,10.4,14.7,5.0,0.6,9.4,26.5,4.2,2.2,6.4,0.237,7.4,4.1,11.5,2,2014-15,SG,10.80,216,191,1918,1949,2591,208.8,2083,0,0
Rodney Hood,2013-14,Duke,ACC,35,33,1150,20.1,0.59,0.55,0.41,0.328,507.0,2.9,11.7,7.2,13.2,1.3,0.8,10.2,23.8,3.6,1.2,4.9,0.17,6.3,0.9,7.2,1,2014-15,SF,7.45,216,216,2013,2045,2616,208.2,2045,0,0
Shabazz Napier,2013-14,UConn,AAC,40,40,1404,25.5,0.591,0.517,0.433,0.48,745.0,3.4,15.0,9.7,30.8,3.2,1.0,15.8,27.5,4.9,3.1,7.9,0.226,7.5,4.5,12.0,4,2014-15,PG,7.35,210,216,1803,1854,2362,175.2,1911,0,0
P.J. Hairston,2012-13,UNC,ACC,34,14,804,27.1,0.586,0.551,0.61,0.306,437.0,8.4,12.5,10.2,11.2,3.0,1.7,8.4,27.0,3.4,1.2,4.6,0.228,10.1,2.3,12.4,2,2014-15,SG,8.20,222,248,1937,1962,2565,228.8,2057,0,0
C.J. Wilcox,2013-14,Washington,Pac-12,32,31,1116,22.0,0.598,0.556,0.529,0.271,527.0,2.3,10.6,6.4,15.4,1.7,2.8,9.9,24.6,3.6,0.9,4.4,0.159,7.4,1.0,8.4,4,2014-15,SG,6.50,222,229,1918,1956,2553,201.0,2076,0,0
Josh Huestis,2013-14,Stanford,Pac-12,36,36,1266,17.3,0.51,0.488,0.223,0.295,413.0,8.8,18.4,13.7,6.8,1.0,5.9,9.8,18.0,1.9,2.1,4.0,0.126,2.8,2.5,5.3,4,,SG,,0,0,0,0,0,nan,0,0,0
Kyle Anderson,2013-14,UCLA,Pac-12,36,36,1196,24.7,0.566,0.517,0.154,0.493,603.0,4.5,25.5,15.4,34.3,3.1,2.7,19.1,24.1,3.1,2.6,5.6,0.189,6.3,4.5,10.9,2,2014-15,SF,13.35,210,222,2019,2045,2731,230.1,2203,0,0
K.J. McDaniels,2013-14,Clemson,ACC,36,35,1212,28.4,0.566,0.505,0.303,0.402,579.0,8.8,15.9,12.5,12.8,2.3,8.9,13.3,29.1,3.6,3.1,6.7,0.221,7.4,5.6,12.9,3,2014-15,SF,4.45,222,248,1943,1981,2591,195.6,2115,0,0
Joe Harris,2013-14,Virginia,ACC,37,37,1066,18.7,0.565,0.547,0.533,0.337,407.0,2.7,9.8,6.3,18.1,2.2,0.9,10.9,23.3,2.6,2.4,5.0,0.187,4.5,4.1,8.6,4,2014-15,SG,6.20,216,248,1949,1988,2540,215.0,1981,0,0
Cleanthony Early,2013-14,Wichita State,MVC,36,36,986,26.5,0.627,0.57,0.459,0.464,507.0,5.9,18.6,12.5,6.4,1.8,3.3,12.9,28.8,3.6,2.5,6.1,0.246,6.4,2.6,9.0,2,2014-15,SF,4.45,216,229,1981,2013,2578,209.4,2102,0,0
Jarnell Stokes,2013-14,Tennessee,SEC,37,37,1199,27.6,0.576,0.531,0.0,0.613,575.0,15.3,23.1,19.2,13.7,1.4,2.9,13.7,24.6,4.2,2.6,6.8,0.227,7.1,2.4,9.5,3,2014-15,PF,8.20,248,267,2007,2045,2629,262.8,2165,0,0
Johnny O'Bryant,2013-14,LSU,SEC,34,34,1020,18.7,0.526,0.495,0.007,0.455,507.0,10.8,16.6,13.7,11.5,1.0,2.9,17.8,28.5,1.2,1.5,2.7,0.106,1.1,0.2,1.3,3,2014-15,PF,10.75,235,241,2013,2045,2667,256.8,2191,0,0
DeAndre Daniels,2013-14,UConn,AAC,38,38,1103,20.0,0.559,0.531,0.299,0.222,437.0,6.3,16.9,12.0,3.6,1.4,5.2,11.2,24.2,2.1,2.4,4.4,0.16,3.1,2.5,5.6,3,2014-15,SF,3.85,235,267,2013,2045,2705,196.0,2184,0,0
Spencer Dinwiddie,2013-14,Colorado,Pac-12,17,17,529,24.8,0.667,0.565,0.481,0.908,248.0,1.8,9.6,5.8,26.3,2.9,0.8,13.8,21.0,2.2,0.8,3.1,0.231,6.2,3.9,10.1,3,2014-15,PG,5.35,210,229,1943,1981,2616,204.9,2038,0,0
Jerami Grant,2013-14,Syracuse,ACC,32,20,1005,21.6,0.547,0.496,0.019,0.664,379.0,9.1,17.2,13.0,9.4,1.7,2.5,9.5,21.1,2.8,1.9,4.6,0.185,4.0,2.4,6.4,2,2014-15,SF,3.75,235,235,1994,2026,2718,214.0,2203,0,0
Glenn Robinson III,2013-14,Michigan,Big Ten,37,37,1194,18.9,0.566,0.532,0.29,0.308,450.0,6.0,11.5,8.8,7.6,1.9,1.0,9.7,22.3,2.8,1.4,4.2,0.142,4.2,1.2,5.3,2,2014-15,SF,5.05,229,241,1968,2000,2553,211.4,2083,0,0
Nick Johnson,2013-14,Arizona,Pac-12,38,38,1257,21.5,0.549,0.498,0.357,0.395,573.0,3.0,11.1,7.2,17.6,2.1,2.0,10.2,26.3,3.6,3.1,6.7,0.212,5.8,4.9,10.7,3,2014-15,SG,6.05,222,248,1867,1905,2451,198.0,2013,0,0
Markel Brown,2013-14,Oklahoma State,Big 12,34,34,1201,22.0,0.591,0.541,0.361,0.483,562.0,3.5,12.9,8.4,16.9,1.6,3.1,10.0,23.1,3.7,2.0,5.7,0.191,6.3,2.7,8.9,4,2014-15,SG,4.20,210,248,1892,1918,2540,184.4,2051,0,0
Dwight Powell,2013-14,Stanford,Pac-12,36,36,1167,19.7,0.527,0.475,0.103,0.557,537.0,7.3,17.3,12.5,20.4,2.4,2.8,17.8,26.0,1.8,2.0,3.8,0.131,2.7,3.0,5.7,4,2014-15,PF,6.20,229,235,2070,2108,2667,234.4,2146,0,0
Jordan Clarkson,2013-14,Missouri,SEC,35,35,1228,20.2,0.547,0.482,0.244,0.418,605.0,2.9,9.3,6.4,23.3,1.9,0.6,14.3,27.9,3.2,1.2,4.4,0.142,3.8,0.5,4.3,1,2014-15,PG,4.30,210,229,1911,1956,2489,186.3,2032,0,0
Russ Smith,2013-14,Louisville,AAC,37,36,1084,26.2,0.576,0.541,0.376,0.451,662.0,2.9,9.6,6.2,31.6,4.0,0.4,15.2,30.7,3.9,2.9,6.7,0.249,7.2,4.3,11.5,4,2014-15,PG,3.50,210,216,1816,1848,2413,160.0,1918,0,0
Lamar Patterson,2013-14,Pitt,ACC,36,36,1174,24.2,0.569,0.528,0.45,0.382,591.0,3.8,14.4,9.2,29.9,2.8,1.2,14.7,29.1,3.6,2.3,5.9,0.2,8.1,3.2,11.4,5,2014-15,SG,10.75,229,235,1930,1962,2565,226.0,2108,0,0
Cameron Bairstow,2013-14,New Mexico,MWC,34,34,1119,29.0,0.611,0.558,0.007,0.7,627.0,8.5,16.5,12.8,11.8,1.0,4.9,10.7,29.9,4.5,2.0,6.5,0.232,7.2,2.5,9.7,4,2014-15,PF,8.70,222,229,2051,2076,2718,252.4,2153,0,0
Alec Brown,2013-14,Green Bay,Horizon,30,30,909,22.7,0.569,0.536,0.288,0.349,412.0,8.5,12.8,10.8,7.0,1.0,10.9,13.8,26.2,1.9,2.0,3.9,0.17,3.0,1.7,4.7,4,2014-15,PF,7.70,235,222,2140,2165,2769,231.2,2172,0,0
Semaj Christon,2013-14,Xavier,Big East,34,34,1200,19.1,0.544,0.501,0.117,0.56,565.0,1.5,7.4,4.6,25.3,2.3,0.8,14.3,26.9,2.6,1.3,4.0,0.133,3.7,1.5,5.2,2,2014-15,PG,5.25,216,210,1867,1911,2515,186.0,1994,0,0
Roy Devyn Marble,2013-14,Iowa,Big Ten,33,33,995,22.6,0.528,0.479,0.342,0.456,534.0,2.9,8.6,5.9,23.6,3.5,0.8,9.7,28.4,3.0,1.6,4.6,0.187,6.0,3.0,9.0,4,,Missing,,0,0,0,0,0,nan,0,0,0
Jordan McRae,2013-14,Tennessee,SEC,37,37,1190,24.0,0.565,0.513,0.439,0.414,623.0,2.6,10.0,6.3,17.6,1.3,3.3,11.2,30.4,4.3,2.0,6.2,0.21,8.1,2.5,10.5,4,2014-15,SG,5.20,222,216,1924,1962,2642,179.4,2146,0,0
Xavier Thames,2013-14,San Diego State,MWC,36,36,1126,26.5,0.557,0.478,0.357,0.514,607.0,2.1,8.5,5.3,23.7,3.3,0.5,8.2,28.6,4.7,2.8,7.5,0.267,7.2,5.2,12.4,3,2014-15,PG,6.40,210,229,1886,1918,2438,187.0,1930,0,0
